,company_name,exporter_country,importer_country,manufacturing_country,mentioned_country,operates_in_country,sourced_from_country,goods_mentioned
0,4Imprint Group Plc,,,,,,Canada; Ireland; United Kingdom; United States,tin
1,A.G.Barr PLC,,,,United Kingdom,,,
2,ABBVIE,,,Belgium; Botswana; Brazil; Canada; Colombia; Costa Rica; Eswatini; France; Germany; Greece; India; Ireland; Israel; Japan; Jersey; Kenya; Lesotho; Malawi; Mexico; Philippines; Puerto Rico; Romania; South Africa; Uganda; United Kingdom; United States,,,,tea; tin
3,ANGLO AMERICAN,,,,,,Australia; Botswana; Brazil; Canada; Chile; China; Finland; Namibia; Peru; Singapore; South Africa; United Kingdom; Zimbabwe,tin
4,ASTRAZENECA,,,,Brazil,,,tin; tobacco
5,Accenture plc,,,,,,Australia; Austria; Belgium; France; Germany; India; Ireland; Italy; Portugal; Singapore; Spain; United Kingdom; United States,tea; tin
6,Akamai Technologies Inc,,,,,,Aruba,gas; tin
7,Allegion PLC,,Germany; United States,,,,,tin
8,Amazon.com CDR,,,,,Australia; Bangladesh; Cambodia; Canada; China; India; Japan; Malaysia; Mexico; Pakistan; Saudi Arabia; Singapore; Thailand; United Arab Emirates; United Kingdom; United States,,tin
9,Amgen Inc,,,,,,Australia; Brazil; Canada; China; France; Georgia; Germany; Haiti; Iceland; India; Ireland; Italy; Japan; Liberia; Mexico; Netherlands; Pakistan; Puerto Rico; Singapore; Spain; United Kingdom; United States,gold; tea; tin
10,Arista Networks,,,,,Belarus; Canada; India; Ireland; Singapore; United Kingdom; United States,,tin
11,Associated British Foods PLC,,Argentina; Australia; Bangladesh; China; India; Indonesia; Kenya; Malaysia; Myanmar; Pakistan; Spain; Sri Lanka; Thailand; United Kingdom; United States,,,,,sugar; tea; tin
12,Automatic Data Processing Inc,,,,,,Ireland; Jersey; United Kingdom,tea; tin
13,Avery Dennison Corp,,,,,,Australia; New Zealand,
14,BECTON DICKINSON&CO,,,,,,Australia; Canada; France; India; Israel; New Zealand; Philippines; South Africa; United Kingdom; United States,tin
15,BP PLC,,,,Ukraine; United Kingdom; United States,,,tin
16,BRDNF,,,,,Ireland; United Kingdom,,tea
17,BURBERRY GROUP,,,,,,China; Italy; Poland; Romania; Thailand; United Kingdom,
18,Babcock International Group PLC,Canada; France; Germany; Ireland; Japan; New Zealand; South Africa; United Kingdom; United States,,,,,,
19,Balfour Beatty plc,,,,,,Australia; Bahamas; Canada; Germany; Guinea; Hong Kong; India; Ireland; Isle of Man; Jersey; Malaysia; Netherlands; Romania; Sri Lanka; Thailand; United Kingdom; United States,
20,Berkeley Group Holdings PLC ADR,,,,United Kingdom,,,
21,Bio-Techne Corp,,,,China; United Kingdom; United States,,,
22,Bloomsbury Publishing Plc,,,,Ireland; United States,,,tin
23,Bodycote PLC,,,,Austria; China; Denmark; France; Germany; Netherlands; United Kingdom,,,
24,Boohoo Group PLC,,,,,,Albania; Bangladesh; Brazil; Bulgaria; Cambodia; China; Cyprus; Egypt; Estonia; Germany; India; Indonesia; Italy; Madagascar; Mauritius; Morocco; Myanmar; Pakistan; Portugal; Romania; Spain; Sri Lanka; Tunisia; Ukraine; United Arab Emirates; United Kingdom; United States,cotton; garments; tin
25,Bunge Limited,,,,,,Argentina; Australia; Austria; Belarus; Belgium; Bermuda; Brazil; Bulgaria; Burkina Faso; Canada; Cayman Islands; Chile; China; Colombia; Cyprus; Egypt; Finland; France; Germany; Ghana; Guatemala; Hong Kong; Hungary; India; Indonesia; Italy; Japan; Latvia; Malaysia; Mauritius; Mexico; Netherlands; Paraguay; Peru; Philippines; Poland; Portugal; Romania; Singapore; South Africa; Spain; Switzerland; Thailand; Ukraine; United Arab Emirates; United Kingdom; United States; Uruguay,oil; sugar; timber; tin
26,CBRE Group Inc,,,,,,Argentina; Australia; Austria; Bahrain; Belgium; Botswana; Brazil; Bulgaria; Cambodia; Cameroon; Canada; Chile; Colombia; Croatia; Denmark; Egypt; Finland; France; Germany; Ghana; Greece; Hong Kong; Hungary; India; Indonesia; Ireland; Israel; Italy; Japan; Jordan; Kenya; Kuwait; Luxembourg; Malaysia; Mali; Mexico; Morocco; Namibia; Netherlands; New Zealand; Nigeria; Norway; Oman; Pakistan; Philippines; Poland; Portugal; Qatar; Romania; Rwanda; Saudi Arabia; Senegal; Serbia; Singapore; Slovakia; South Africa; Spain; Sweden; Switzerland; Thailand; Uganda; United Arab Emirates; United Kingdom; United States; Zambia; Zimbabwe,tin
27,CENTRICA,,,Bangladesh; Cambodia; China; Ireland; Pakistan; United Kingdom,,,,tin
28,CHEVRON,,,,,Australia,,
29,COLGATE-PALMOLIVE,,,,Canada,,,
30,CONOCOPHILLIPS,,,,Australia; Canada; China; Norway; Qatar; United Kingdom,,,
31,CONSOLIDATED EDISON,,,,United States,,,tin
32,Cigna Corp,,Australia; Bahrain; Belgium; Canada; China; Georgia; Hong Kong; India; Indonesia; Kenya; Lebanon; Malaysia; New Zealand; Puerto Rico; Singapore; Spain; Switzerland; Thailand; United Arab Emirates; United Kingdom; United States,,,,,tea; tin; tobacco
33,Coca Cola HBC AG,,Austria; Belarus; Egypt; Greece; Hungary; Ireland; Italy; Nigeria; Poland; Romania; Serbia; Switzerland,,,,,tin
34,Coca-Cola Icecek AS,,Austria; Azerbaijan; Bangladesh; Canada; France; Germany; Hungary; Iraq; Japan; Jordan; Kazakhstan; Kyrgyzstan; Pakistan; Spain; Tajikistan; Turkmenistan; United Kingdom; United States; Uzbekistan,,,,,coal; cotton; gold; tea; tin
35,ConvaTec Group PLC,,,Canada; China; Denmark; Dominican Republic; France; Germany; Ireland; Italy; Mexico; Netherlands; Poland; Slovakia; Spain; Sweden; Switzerland; United Kingdom; United States,,,,tin
36,Corteva Inc,,,,Argentina; Australia; Bangladesh; Belgium; Brazil; Canada; Chile; China; Colombia; France; Germany; Greece; Hungary; India; Indonesia; Italy; Japan; Kenya; Lithuania; Malaysia; Mexico; Myanmar; Netherlands; New Zealand; Philippines; Poland; Romania; Singapore; South Africa; Spain; Thailand; Ukraine; United Kingdom; United States; Zambia,,,
37,Coterra Energy Inc,,,,China; France; Germany; India; Mexico; Netherlands; Ukraine; United States,,,
38,Croda International PLC,,,,,,China; Indonesia,
39,DANAHER,,,,,,Australia; Canada; Democratic Republic of the Congo; Republic of the Congo; United Kingdom,
40,DECKERS OUTDOOR,,,,United Kingdom,,,
41,DELTA AIR LINES,,,,Canada; United States,,,tin
42,DOLLAR GENERAL,,,,Mexico; United States,,,
43,DS Smith PLC,,,,United Kingdom,,,
44,Diageo PLC,,,,,,Australia; Benin; Brazil; Canada; Cyprus; Germany; Ghana; Greece; Guatemala; India; Ireland; Italy; Kenya; Mexico; Nigeria; Seychelles; Singapore; South Africa; Spain; Uganda; United Kingdom; United States,tin
45,Diploma PLC,,,,United Kingdom,,,
46,Dover Corp,,,,Angola; Burundi; Central African Republic; Democratic Republic of the Congo; Republic of the Congo; Rwanda; South Sudan; Sudan; Uganda; United States; Zambia,,,
47,DuPont de Nemours Inc,,,Canada; United Kingdom; United States,,,,tin
48,ECOLAB INC,,,,,Australia; Belgium; Brazil; Canada; Chile; China; Cyprus; Democratic Republic of the Congo; Denmark; Dominican Republic; El Salvador; Finland; France; Honduras; Hong Kong; Hungary; India; Indonesia; Italy; Japan; Kenya; Malaysia; Mexico; Netherlands; Nicaragua; Poland; Republic of the Congo; Romania; Slovakia; South Africa; Spain; Switzerland; Thailand; Ukraine; United Arab Emirates; United Kingdom; United States,,tin
49,ELEMENTIS,,,,Brazil; China; Finland; Germany; Netherlands; United Kingdom,,,minerals; tin
50,ENTERGY,,,,United States,,,
51,EXPERIAN,,,,,Argentina; Australia; Austria; Botswana; Brazil; Bulgaria; Canada; Chile; China; Colombia; Costa Rica; Denmark; Eswatini; France; Germany; Guernsey; Hong Kong; India; Indonesia; Ireland; Italy; Japan; Jersey; Jordan; Lesotho; Malaysia; Mexico; Monaco; Mozambique; Netherlands; New Zealand; Norway; Panama; Peru; Philippines; Poland; Singapore; South Africa; Spain; Switzerland; Thailand; United Kingdom; United States,,tin
52,Eastman Chemical Co.,Democratic Republic of the Congo; Republic of the Congo; United Kingdom; United States,,,,,,minerals
53,Eaton Corp PLC,,,,Canada; China; Dominican Republic; Germany; India; Italy; Mexico; Netherlands; Poland; United Kingdom; United States,,,
54,Edwards Lifesciences Corp,,,,,,Australia; Belize; Brazil; China; Colombia; Costa Rica; Dominican Republic; India; Ireland; Japan; Mexico; New Zealand; Puerto Rico; Singapore; Ukraine; United States,gas; tin
55,Electrocomponents plc,,,,Germany; United Kingdom,,,
56,FMC CORP,,,,Germany,,,
57,Fortive Corp,,,,Australia; China; India; Italy; Japan; Mexico; United Kingdom,,,tea
58,GILEAD SCIENCES,,,,United Kingdom,,,
59,GOLDMAN SACHS CDR,,,,Australia; United Kingdom; United States,,,furniture; gold; tin
60,GREENCORE GROUP,,,,,,Canada; China; Finland; France; Germany; Greece; India; Ireland; Morocco; Netherlands; Pakistan; Spain; Thailand; United Kingdom,oil; tea
61,Garmin Ltd,,,,,,China; Democratic Republic of the Congo; Poland; United States,minerals
62,General Dynamics Corp.,,,,,,Democratic Republic of the Congo; Republic of the Congo; United States,gold; minerals; tantalum; tin
63,Glencore PLC,,,,,Switzerland,,
64,Grafton Group PLC,,,,Finland; Ireland; Netherlands; United Kingdom,,,
65,HORMEL FOODS,,,,Guatemala; Haiti; United States,,,
66,HP Inc,,,Argentina; Australia; Bangladesh; Canada; Chile; Colombia; Ecuador; France; Haiti; Honduras; Hong Kong; India; Indonesia; Ireland; Malaysia; New Zealand; Nigeria; Pakistan; Paraguay; Philippines; Portugal; Puerto Rico; Saudi Arabia; Singapore; South Africa; Sri Lanka; Switzerland; United Kingdom; United States; Uruguay,Democratic Republic of the Congo; Republic of the Congo,,,coal; fabrics; gold; minerals; tantalum; tea; tin
67,Halma PLC,,,,Australia; Austria; Belgium; Brazil; Canada; China; France; Germany; Hong Kong; India; Ireland; Italy; Japan; Jersey; Malaysia; Netherlands; New Zealand; Saudi Arabia; Singapore; Spain; Switzerland; Tunisia; United Arab Emirates; United Kingdom; United States,,,
68,Hikma Pharmaceuticals PLC,,,,United Kingdom,,,
69,Howden Joinery Group PLC,,,,United Kingdom,,,
70,Huntington Ingalls Industries Inc,,,,United States,,,
